# Title: Global Land Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
# Missing: -999
Date,Anomaly
198001,0.33
198002,0.70
198003,0.31
198004,0.43
198005,0.53
198006,0.22
198007,0.38
198008,0.42
198009,0.30
198010,0.24
198011,0.33
198012,0.22
198101,1.16
198102,0.91
198103,0.92
198104,0.54
198105,0.33
198106,0.34
198107,0.39
198108,0.67
198109,0.21
198110,0.28
198111,0.40
198112,0.79
198201,-0.29
198202,0.23
198203,-0.26
198204,0.06
198205,0.03
198206,-0.15
198207,0.26
198208,-0.02
198209,0.03
198210,-0.14
198211,-0.15
198212,0.65
198301,0.68
198302,0.63
198303,0.60
198304,0.16
198305,0.46
198306,0.18
198307,0.09
198308,0.49
198309,0.72
198310,0.18
198311,0.60
198312,0.22
198401,0.42
198402,0.04
198403,0.44
198404,-0.06
198405,0.72
198406,-0.02
198407,0.17
198408,0.20
198409,0.13
198410,0.14
198411,-0.13
198412,-0.31
198501,0.49
198502,-0.34
198503,0.31
198504,0.13
198505,0.21
198506,0.26
198507,-0.26
198508,0.21
198509,0.08
198510,-0.02
198511,-0.02
198512,0.18
198601,0.52
198602,0.82
198603,0.60
198604,0.39
198605,0.42
198606,0.06
198607,0.04
198608,0.15
198609,-0.15
198610,-0.10
198611,-0.10
198612,0.09
198701,0.47
198702,0.57
198703,-0.10
198704,0.13
198705,0.24
198706,0.39
198707,0.66
198708,0.06
198709,0.28
198710,0.15
198711,-0.19
198712,0.56
198801,0.70
198802,0.47
198803,0.70
198804,0.59
198805,0.71
198806,0.67
198807,0.49
198808,0.64
198809,0.61
198810,0.57
198811,0.07
198812,0.57
198901,-0.13
198902,0.57
198903,0.54
198904,0.40
198905,0.07
198906,0.10
198907,0.25
198908,0.34
198909,0.51
198910,0.41
198911,-0.07
198912,0.69
199001,0.56
199002,0.44
199003,1.55
199004,1.09
199005,0.79
199006,0.46
199007,0.45
199008,0.34
199009,0.29
199010,0.50
199011,0.47
199012,0.58
199101,0.56
199102,0.87
199103,0.43
199104,0.76
199105,0.54
199106,0.89
199107,0.71
199108,0.59
199109,0.67
199110,0.49
199111,0.37
199112,0.34
199201,0.78
199202,0.72
