# Title: December 2023 Global Gridded Average Temperature
# Units: Degrees Celsius
# Base Period: 1991-2020
# Missing: -999.00
Latitude,Longitude,Anomaly,Rank
-77.5,142.5,-0.08,64
-77.5,147.5,0.12,79
-77.5,152.5,-0.3,64
-77.5,157.5,-0.29,62
-77.5,162.5,-0.12,96
-77.5,167.5,-1.58,12
-77.5,172.5,-0.31,76
-77.5,177.5,-0.15,101
-77.5,182.5,0.33,143
-77.5,187.5,0.56,152
-77.5,192.5,0.53,151
-77.5,197.5,0.54,150
-77.5,202.5,0.91,159
-77.5,207.5,0.44,136
-77.5,212.5,0.72,149
-77.5,217.5,0.22,132
-77.5,222.5,0.81,152
-77.5,227.5,0.07,116
-77.5,232.5,0.41,134
-77.5,237.5,0.2,120
-77.5,242.5,-0.47,71
-77.5,247.5,-0.02,104
-77.5,252.5,-0.14,96
-77.5,257.5,-0.11,92
-77.5,262.5,0.17,126
-77.5,267.5,-1.26,28
-77.5,272.5,0.47,143
-77.5,277.5,-0.62,76
-77.5,282.5,-0.97,39
-77.5,287.5,-1.17,40
-77.5,292.5,-1.75,16
-77.5,297.5,-2.44,14
-77.5,302.5,-2.55,11
-77.5,307.5,-2.08,12
-77.5,312.5,-1.41,15
-77.5,317.5,-1.13,17
-77.5,322.5,-1,23
-77.5,327.5,-0.89,39
-77.5,332.5,-0.68,26
-77.5,337.5,-0.69,41
-77.5,342.5,-0.22,84
-77.5,347.5,-0.73,42
-77.5,352.5,-0.46,71
-77.5,357.5,0.5,135
-72.5,2.5,-0.33,81
-72.5,7.5,-0.83,42
-72.5,12.5,-0.79,36
-72.5,17.5,-1.05,27
-72.5,22.5,-0.52,50
-72.5,27.5,-0.3,63
-72.5,32.5,-0.61,48
-72.5,37.5,-1.11,31
-72.5,42.5,-0.4,91
-72.5,47.5,-0.56,66
-72.5,52.5,-0.9,41
-72.5,57.5,-1.16,25
-72.5,62.5,-0.85,24
-72.5,67.5,-1.62,12
-72.5,72.5,-1.02,20
-72.5,77.5,-1.38,18
-72.5,82.5,-1.89,8
-72.5,87.5,-1.93,9
-72.5,92.5,-2.24,9
-72.5,97.5,-0.94,33
-72.5,102.5,-1.82,14
-72.5,107.5,-2.17,9
-72.5,112.5,-1.7,23
-72.5,117.5,-1.44,21
-72.5,122.5,-2.62,6
-72.5,127.5,-1.54,22
-72.5,132.5,-1.11,21
-72.5,137.5,-2.08,7
-72.5,142.5,-0.83,36
-72.5,147.5,-0.96,23
-72.5,152.5,-1.7,14
-72.5,157.5,-0.98,37
-72.5,162.5,-0.72,38
-72.5,167.5,-0.11,74
-72.5,172.5,-0.17,33
-72.5,177.5,-0.12,132
-72.5,182.5,-0.02,144
-72.5,187.5,0.09,167
-72.5,192.5,0.01,169
-72.5,197.5,0,1
-72.5,202.5,0,1
-72.5,207.5,0,1
-72.5,212.5,0,1
-72.5,217.5,0,1
-72.5,222.5,0,1
-72.5,227.5,0,1
-72.5,232.5,0,1
-72.5,237.5,0,1
-72.5,242.5,-0.03,1
-72.5,247.5,-0.08,134
-72.5,252.5,-0.04,1
-72.5,257.5,-0.06,1
-72.5,262.5,-0.18,47
-72.5,267.5,-0.1,91
-72.5,272.5,0.02,138
-72.5,277.5,-0.12,90
-72.5,282.5,-0.04,123
-72.5,287.5,-0.2,83
-72.5,292.5,-0.44,62
-72.5,297.5,-0.79,42
-72.5,302.5,-0.01,1
-72.5,307.5,0,1
-72.5,312.5,0,1
-72.5,317.5,0,1
-72.5,322.5,0,1
-72.5,327.5,-0.01,1
-72.5,332.5,-0.06,1
-72.5,337.5,-0.09,132
-72.5,342.5,0.03,111
-72.5,347.5,-0.17,85
-72.5,352.5,-0.13,80
-72.5,357.5,-0.13,91
-67.5,2.5,0.12,128
-67.5,7.5,0.33,158
-67.5,12.5,0.35,164
-67.5,17.5,0.37,168
-67.5,22.5,0.35,174
-67.5,27.5,0.09,161
-67.5,32.5,0.08,160
-67.5,37.5,0.16,167
-67.5,42.5,0.04,148
-67.5,47.5,-0.18,94
-67.5,52.5,-0.51,42
-67.5,57.5,-0.25,59
-67.5,62.5,0.1,122
-67.5,67.5,0.16,138
-67.5,72.5,0.45,169
-67.5,77.5,0.24,155
-67.5,82.5,-0.71,6
-67.5,87.5,-0.65,20
-67.5,92.5,-0.7,34
-67.5,97.5,-1.43,7
-67.5,102.5,-1.11,14
-67.5,107.5,-0.77,20
-67.5,112.5,-0.45,45
-67.5,117.5,-0.42,40
-67.5,122.5,-0.43,39
-67.5,127.5,-0.16,66
-67.5,132.5,-0.8,19
-67.5,137.5,-1.05,12
-67.5,142.5,-0.53,58
-67.5,147.5,-0.42,99
-67.5,152.5,-0.08,103
-67.5,157.5,-0.06,123
-67.5,162.5,-0.08,141
-67.5,167.5,-0.05,134
-67.5,172.5,-0.07,125
-67.5,177.5,0.01,94
-67.5,182.5,0.3,155
-67.5,187.5,0.31,159
-67.5,192.5,0.11,109
-67.5,197.5,0.01,57
-67.5,202.5,0.05,119
-67.5,207.5,0.07,121
-67.5,212.5,0.05,102
-67.5,217.5,0,64
-67.5,222.5,-0.08,56
-67.5,227.5,-0.15,48
-67.5,232.5,-0.2,45
-67.5,237.5,-0.33,37
-67.5,242.5,-0.51,21
-67.5,247.5,-0.67,18
-67.5,252.5,-0.83,14
-67.5,257.5,-0.89,11
-67.5,262.5,-0.81,14
-67.5,267.5,-0.68,20
-67.5,272.5,-0.69,20
-67.5,277.5,-0.72,21
-67.5,282.5,-0.7,20
-67.5,287.5,-0.38,46
-67.5,292.5,-0.09,144
-67.5,297.5,-0.03,104
-67.5,302.5,-0.01,165
-67.5,307.5,-0.01,1
-67.5,312.5,-0.01,1
-67.5,317.5,-0.01,1
-67.5,322.5,-0.02,1
-67.5,327.5,-0.04,1
-67.5,332.5,-0.06,1
-67.5,337.5,-0.08,1
-67.5,342.5,-0.13,1
-67.5,347.5,-0.17,25
-67.5,352.5,-0.17,31
-67.5,357.5,-0.35,8
-62.5,2.5,0.32,166
-62.5,7.5,0.36,166
-62.5,12.5,0.36,166
-62.5,17.5,0.34,168
-62.5,22.5,0.28,165
-62.5,27.5,0.02,146
-62.5,32.5,-0.07,133
-62.5,37.5,0.06,152
-62.5,42.5,0.09,159
-62.5,47.5,0.09,160
-62.5,52.5,0.07,157
-62.5,57.5,0.07,154
-62.5,62.5,0.03,138
-62.5,67.5,0.02,134
-62.5,72.5,0.06,138
-62.5,77.5,0.11,156
-62.5,82.5,0.18,167
-62.5,87.5,0.28,171
-62.5,92.5,0.21,170
-62.5,97.5,0.09,163
-62.5,102.5,0.26,169
-62.5,107.5,0.16,164
-62.5,112.5,0.03,139
-62.5,117.5,-0.02,137
-62.5,122.5,-0.12,134
-62.5,127.5,-0.23,126
-62.5,132.5,-0.36,113
-62.5,137.5,-0.47,82
-62.5,142.5,-0.51,83
-62.5,147.5,-0.41,100
-62.5,152.5,-0.23,111
-62.5,157.5,-0.02,127
-62.5,162.5,0.09,124
-62.5,167.5,0.08,101
-62.5,172.5,0.05,110
-62.5,177.5,0.15,135
-62.5,182.5,0.34,144
-62.5,187.5,0.46,142
-62.5,192.5,0.46,141
