# Title: December 1960 Global Gridded Average Temperature
# Units: Degrees Celsius
# Base Period: 1991-2020
# Missing: -999.00
Latitude,Longitude,Anomaly,Rank
-87.5,2.5,-0.33,58
-87.5,7.5,-2.05,5
-87.5,12.5,-0.86,30
-87.5,17.5,-1.06,21
-87.5,22.5,-1.28,19
-87.5,27.5,-1.27,19
-87.5,32.5,-1.13,24
-87.5,37.5,-1.29,18
-87.5,42.5,-0.78,40
-87.5,47.5,-1.82,9
-87.5,52.5,-0.28,74
-87.5,57.5,-1.54,15
-87.5,62.5,-0.19,73
-87.5,67.5,-0.75,32
-87.5,72.5,-1.83,9
-87.5,77.5,-0.76,40
-87.5,82.5,-0.88,28
-87.5,87.5,-0.37,48
-87.5,92.5,-1.01,22
-87.5,97.5,0.25,86
-87.5,102.5,0.08,82
-87.5,107.5,-1.5,15
-87.5,112.5,-1.08,20
-87.5,117.5,-0.48,62
-87.5,122.5,-0.93,39
-87.5,127.5,0.18,105
-87.5,132.5,-1.04,20
-87.5,137.5,0.1,89
-87.5,142.5,-0.78,40
-87.5,147.5,-0.7,41
-87.5,152.5,-0.47,51
-87.5,157.5,0.01,83
-87.5,162.5,-0.02,91
-87.5,167.5,-0.49,52
-87.5,172.5,-0.26,82
-87.5,177.5,-1,20
-87.5,182.5,-1.43,6
-87.5,187.5,-0.28,71
-87.5,192.5,-1.03,28
-87.5,197.5,-1.93,3
-87.5,202.5,-0.14,98
-87.5,207.5,-0.99,31
-87.5,212.5,-0.29,55
-87.5,217.5,-1.51,9
-87.5,222.5,-1.67,4
-87.5,227.5,-0.96,33
-87.5,232.5,-1.29,17
-87.5,237.5,-0.49,60
-87.5,242.5,-0.16,85
-87.5,247.5,-0.07,84
-87.5,252.5,-0.73,36
-87.5,257.5,-0.77,48
-87.5,262.5,0.21,103
-87.5,267.5,0.1,94
-87.5,272.5,-0.8,37
-87.5,277.5,-1.2,18
-87.5,282.5,-1.46,16
-87.5,287.5,-0.63,59
-87.5,292.5,-1.13,24
-87.5,297.5,-1.02,39
-87.5,302.5,-1.49,27
-87.5,307.5,-0.55,50
-87.5,312.5,-0.5,70
-87.5,317.5,-0.13,78
-87.5,322.5,-1.37,20
-87.5,327.5,0.26,96
-87.5,332.5,-0.95,35
-87.5,337.5,0.08,97
-87.5,342.5,-0.81,25
-87.5,347.5,-1.24,14
-87.5,352.5,-1.25,14
-87.5,357.5,-0.86,44
-82.5,2.5,-2.06,4
-82.5,7.5,-1.73,15
-82.5,12.5,-1.89,6
-82.5,17.5,-2.22,3
-82.5,22.5,-1.91,8
-82.5,27.5,-1.14,27
-82.5,32.5,-1.19,24
-82.5,37.5,-1.4,21
-82.5,42.5,-0.83,39
-82.5,47.5,-1.39,20
-82.5,52.5,-1.59,15
-82.5,57.5,-1.16,26
-82.5,62.5,-1.3,17
-82.5,67.5,-1.24,14
-82.5,72.5,-1.13,19
-82.5,77.5,-0.35,57
-82.5,82.5,-0.69,42
-82.5,87.5,-1.28,17
-82.5,92.5,-1.17,14
-82.5,97.5,-0.71,36
-82.5,102.5,-0.85,29
-82.5,107.5,0.06,78
-82.5,112.5,-0.7,41
-82.5,117.5,-0.46,42
-82.5,122.5,-1.09,21
-82.5,127.5,-1.08,27
-82.5,132.5,-1.72,3
-82.5,137.5,-1.18,17
-82.5,142.5,-0.94,29
-82.5,147.5,-1.2,20
-82.5,152.5,-1.67,2
-82.5,157.5,-1.54,7
-82.5,162.5,-1.25,18
-82.5,167.5,-1.84,11
-82.5,172.5,-1.68,12
-82.5,177.5,-1.67,15
-82.5,182.5,-2.63,3
-82.5,187.5,-1.69,2
-82.5,192.5,-1.59,3
-82.5,197.5,-1.5,8
-82.5,202.5,-1.58,9
-82.5,207.5,-1.9,13
-82.5,212.5,-2.17,11
-82.5,217.5,-2.35,9
-82.5,222.5,-2.27,6
-82.5,227.5,-1.16,30
-82.5,232.5,-1.24,27
-82.5,237.5,-1.42,18
-82.5,242.5,-1.14,30
-82.5,247.5,-1.82,11
-82.5,252.5,-1.51,17
-82.5,257.5,-1.48,14
-82.5,262.5,-1.19,18
-82.5,267.5,-1.39,16
-82.5,272.5,-1.7,11
-82.5,277.5,-1.14,21
-82.5,282.5,-1.35,16
-82.5,287.5,-0.98,53
-82.5,292.5,-0.42,102
-82.5,297.5,-0.62,86
-82.5,302.5,-0.66,76
-82.5,307.5,-1.25,29
-82.5,312.5,-0.52,66
-82.5,317.5,-0.37,75
-82.5,322.5,-0.27,65
-82.5,327.5,-0.74,38
-82.5,332.5,-1.8,6
-82.5,337.5,-1.67,11
-82.5,342.5,-1.73,12
-82.5,347.5,-1.74,9
-82.5,352.5,-1.05,23
-82.5,357.5,-2.77,3
-77.5,2.5,-3.2,1
-77.5,7.5,-2.16,4
-77.5,12.5,-2.62,4
-77.5,17.5,-1.66,22
-77.5,22.5,-1.99,7
-77.5,27.5,-1.59,15
-77.5,32.5,-1.29,19
-77.5,37.5,-1.53,20
-77.5,42.5,-1.62,17
-77.5,47.5,-1.22,36
-77.5,52.5,-2.1,11
-77.5,57.5,-2.02,6
-77.5,62.5,-1.34,15
-77.5,67.5,-1.69,16
-77.5,72.5,-1.05,32
-77.5,77.5,-2.43,4
-77.5,82.5,-2.52,3
-77.5,87.5,-1.97,6
-77.5,92.5,-2.86,2
-77.5,97.5,-2.52,3
-77.5,102.5,-1.89,5
-77.5,107.5,-2.38,3
-77.5,112.5,-1.87,4
-77.5,117.5,-2.4,3
-77.5,122.5,-1.77,8
-77.5,127.5,-1.95,7
-77.5,132.5,-1.42,9
-77.5,137.5,-1.6,7
-77.5,142.5,-1.68,3
-77.5,147.5,-1.73,6
-77.5,152.5,-2.21,1
-77.5,157.5,-2.5,2
-77.5,162.5,-1.84,5
-77.5,167.5,-1.56,13
-77.5,172.5,-1.45,7
-77.5,177.5,-1.53,4
-77.5,182.5,-1.57,6
-77.5,187.5,-1.69,2
-77.5,192.5,-1.59,3
-77.5,197.5,-1.5,8
-77.5,202.5,-1.6,13
-77.5,207.5,-1.79,9
-77.5,212.5,-1.49,19
-77.5,217.5,-1.39,26
-77.5,222.5,-1.24,33
-77.5,227.5,-1.23,33
-77.5,232.5,-0.24,94
-77.5,237.5,-0.51,77
-77.5,242.5,-1.6,17
-77.5,247.5,-0.45,76
-77.5,252.5,-0.27,84
-77.5,257.5,-1.44,13
-77.5,262.5,-0.66,61
-77.5,267.5,-0.84,46
-77.5,272.5,-0.73,51
-77.5,277.5,-0.98,46
-77.5,282.5,-0.48,67
-77.5,287.5,-0.58,75
-77.5,292.5,0.06,114
-77.5,297.5,-0.75,73
-77.5,302.5,-0.08,119
-77.5,307.5,0.97,154
-77.5,312.5,0.41,132
-77.5,317.5,-0.4,68
-77.5,322.5,-0.33,61
-77.5,327.5,-1.12,24
-77.5,332.5,-0.48,38
-77.5,337.5,-0.98,30
-77.5,342.5,-0.96,31
-77.5,347.5,-1.97,6
-77.5,352.5,-1.57,20
-77.5,357.5,-2.74,3
-72.5,2.5,-2.45,1
-72.5,7.5,-2,8
-72.5,12.5,-1.44,12
-72.5,17.5,-1.4,17
-72.5,22.5,-1.08,22
-72.5,27.5,-1.36,15
-72.5,32.5,-0.51,60
-72.5,37.5,-1.23,26
-72.5,42.5,-1.49,39
-72.5,47.5,-0.91,42
-72.5,52.5,-1.09,32
-72.5,57.5,-0.6,48
-72.5,62.5,-0.6,36
-72.5,67.5,-0.64,33
-72.5,72.5,-1.55,12
-72.5,77.5,-1.22,23
-72.5,82.5,-1.82,9
-72.5,87.5,-1.76,13
-72.5,92.5,-1.95,15
-72.5,97.5,-2.3,5
-72.5,102.5,-2.51,5
-72.5,107.5,-2.61,6
-72.5,112.5,-2.22,11
-72.5,117.5,-1.81,13
-72.5,122.5,-2.47,9
-72.5,127.5,-2.8,6
-72.5,132.5,-2.15,6
-72.5,137.5,-3.24,1
-72.5,142.5,-2.93,2
-72.5,147.5,-1.44,12
-72.5,152.5,-1.75,13
-72.5,157.5,-1.95,10
-72.5,162.5,-0.7,39
-72.5,167.5,-0.43,13
-72.5,172.5,-0.16,57
-72.5,177.5,-0.35,17
-72.5,182.5,-0.18,3
-72.5,187.5,-0.01,1
-72.5,192.5,0,1
-72.5,197.5,0,1
-72.5,202.5,0,1
-72.5,207.5,0,1
-72.5,212.5,0,1
-72.5,217.5,0,1
-72.5,222.5,0,1
-72.5,227.5,0,1
-72.5,232.5,0,1
-72.5,237.5,0,1
-72.5,242.5,-0.03,1
-72.5,247.5,-0.19,1
-72.5,252.5,-0.04,1
-72.5,257.5,-0.06,1
-72.5,262.5,-0.07,84
-72.5,267.5,-0.22,61
-72.5,272.5,-0.16,75
-72.5,277.5,-0.22,42
-72.5,282.5,-0.24,38
-72.5,287.5,-0.24,69
-72.5,292.5,-0.73,33
-72.5,297.5,0.32,153
-72.5,302.5,-0.01,1
-72.5,307.5,0,1
-72.5,312.5,0,1
-72.5,317.5,0,1
-72.5,322.5,0,1
-72.5,327.5,-0.01,1
-72.5,332.5,-0.06,1
-72.5,337.5,-0.12,124
-72.5,342.5,-0.23,51
-72.5,347.5,-0.79,6
-72.5,352.5,-0.82,17
-72.5,357.5,-1.32,8
-67.5,2.5,-0.29,19
-67.5,7.5,-0.29,15
-67.5,12.5,-0.14,23
-67.5,17.5,-0.18,30
-67.5,22.5,-0.15,40
-67.5,27.5,-0.04,130
-67.5,32.5,0.01,146
-67.5,37.5,-0.07,115
-67.5,42.5,-0.25,61
-67.5,47.5,-0.05,119
-67.5,52.5,-0.51,42
-67.5,57.5,0.03,99
-67.5,62.5,-0.03,104
-67.5,67.5,0.06,125
-67.5,72.5,-0.03,120
-67.5,77.5,-0.34,84
-67.5,82.5,0.03,98
-67.5,87.5,-0.26,52
-67.5,92.5,-0.38,68
-67.5,97.5,-0.61,45
-67.5,102.5,-0.42,51
-67.5,107.5,-0.69,24
-67.5,112.5,-0.67,28
-67.5,117.5,-0.46,37
